name,url,Alternative names,Affiliation,Distinction,Distinction(s),Eye colour,Feather colour,Feathers,Hair colour,Height of average adult,Known affected,Length of average adult,Ministry of Magic Classification,Mortality,Native to,Provoked by,Rarity,Related to,Sentience,Skin colour,Species,Status,Type,Wingspan of average adult
Grindylow,https://harrypotter.fandom.com/wiki/Grindylow,Pollywiggle (in Ilkley)Candypole (in Kettlewell)Jarvis (in Sheffield),MerpeopleDark Arts,HornedAggressive natureInhabit waterCarnivorous,,YellowWhiteGreen,,,,Less than 5 feet,,,XX,Mortal,Great BritainIreland,,,,,Sickly green,,Extant,,
Hidebehind,https://harrypotter.fandom.com/wiki/Hidebehind,,,Resembles a spectreNocturnalCan turn invisibleShapeshiftingCarnivorous; feeds on humans,,,,,Silver,,,,XXXX,Mortal,"Massachusetts, United States of America, North America",,,DemiguiseGhoul,,,,Extant,,
Hinkypunk,https://harrypotter.fandom.com/wiki/Hinkypunk,,Dark Arts,Looks like smokeBears a lanternLures travellers into dangerous bogsTurns solid when illuminated,,,,,,,,,Beast,Mortal,Scotland,,,,,,,Extant,,
Hippocampus,https://harrypotter.fandom.com/wiki/Hippocampus,,Merpeople,Horse's upper bodyFish's lower bodyLives in water,,Varies,,,,,,,XXX,Mortal,Greece,,,,,BlueRed,,Extant,,
Hippogriff,https://harrypotter.fandom.com/wiki/Hippogriff,,,Front half of a giant eagleRear half of a  horseCapable of flightCarnivorous,,Orange,Same as hair colour,,Stormy greyChestnutBronzePinkish roanInky black,3 metres,,,XXX,Mortal,Europe,,,Griffin,,,,Extant,,10 metres
Hodag,https://harrypotter.fandom.com/wiki/Hodag,,,Frog-headedRoughly the size of a large dogHorned (horns have magical properties)Inhabits Muggle farmsFeeds on Mooncalves,,"Red, glowing",,,Black and grey,,,,XXX,Mortal,"North America, mostly Wisconsin",,,,,Black,,Extant,,
Horklump,https://harrypotter.fandom.com/wiki/Horklump,,,Resembled mushroomSparsely covered with bristles,,,,,Black,,,,X,Mortal,Scandinavia,,,,,Pink,,Extant,,
Horned Serpent,https://harrypotter.fandom.com/wiki/Horned_Serpent,,,"Fierce, but intelligent eyesEmit a low musical note to sound dangerJewelled foreheadInhabits bodies of water",,BlueTurquoiseYellow,,,,,,,XXXXX,Mortal,North AmericaFar EastWestern Europe (formerly),,,Snake,,BlackTurquoisePurpleBrown,,Extant,,
Imp,https://harrypotter.fandom.com/wiki/Imp,,,Love of slapstick humourSimilar height to the PixieEats insects,,Yellow,,,Bald,Six to eight inches,,,XX,Mortal,Britain & Ireland,,,Pixie (most likely),,Grey,,Extant,,
Jackalope,https://harrypotter.fandom.com/wiki/Jackalope,,,"Resembles a Jack Rabbit, with the antlers of an antelope",,Brown,,,Brown,,,,Beast,Mortal,United States of America,,,,,,,Extant,,
Jarvey,https://harrypotter.fandom.com/wiki/Jarvey,Talking Ferret,,Resembled an overgrown ferretCapable of human speechLong bushy tailSharp teethPredatory and carnivorous,,Black,,,Brown,,,,XXX,Mortal,Great BritainIrelandNorth America,,,,,,,Extant,,
Jobberknoll,https://harrypotter.fandom.com/wiki/Jobberknoll,,,Screamed every sound it heard backwards before it diedInsect-based diet,,Black,Speckled blue,,,,,,XX,Mortal,Northern EuropeNorth America,,,Bird,,,,Extant,,
Kappa,https://harrypotter.fandom.com/wiki/Kappa,,Dark Arts,Water-filled hollow on top of headFeeds on human blood,,,,,,,,,XXXX,Mortal,Japan,,,,,Scaly,,Extant,,
Kelpie,https://harrypotter.fandom.com/wiki/Kelpie,,Water,Typically appeared as a horseAble to shapeshiftAte humans,,,,,,,,,XXXX,,Great BritainIreland,,,,,,,Extant,,
Knarl,https://harrypotter.fandom.com/wiki/Knarl,,,Almost identical to the hedgehogSavages gardensHerbivorous,,Black,,,Brown,,,,XXX,Mortal,Northern EuropeNorth America,,,,,Brown,,Extant,,
Kneazle,https://harrypotter.fandom.com/wiki/Kneazle,,Wizardkind,"Cat-like, flecked, speckled or spotted fur, out-sized ears and a tail like that of a lion'sHighly intelligentUncanny ability to detect untrustworthy individualsIndependentSometimes aggressiveCapable of guarding homes",,Varies,,,Varies,,,,XXX,Mortal,Britain,,,Cat,,,,Extant,,
Leprechaun,https://harrypotter.fandom.com/wiki/Leprechaun,Clauricorn,Irish National Quidditch team,Mischievous natureHerbivorous,,,,,,Six inches,,,XXX,Mortal,Ireland,,,,,Green,,Extant,,
Lethifold,https://harrypotter.fandom.com/wiki/Lethifold,Living Shroud,Dark Arts,Resembles a black cloakTaste for human flesh,,,,,,,,,XXXXX,,The tropics,,,Dementor (possibly),,Black,,Extant,,
Leucrotta,https://harrypotter.fandom.com/wiki/Leucrotta,,,Strongly resembled a moose in appearanceCapable of repeating/mimicking voices and soundsDisliked their teeth being brushed,,,,,Brown,Large,,,Beast,Mortal,,,,,,,,Extant,,
Lion Bison Moa,https://harrypotter.fandom.com/wiki/Lion_Bison_Moa,,,,,,,,,,,,Beast,Mortal,,,,LionBisonMoa,,,,,,
Lobalug,https://harrypotter.fandom.com/wiki/Lobalug,,Merpeople,Rubbery proboscisVenom sac,,,,,,,,~10 inches,XXX,Mortal,North Sea,,,,,Yellow,,Extant,,
Mackled Malaclaw,https://harrypotter.fandom.com/wiki/Mackled_Malaclaw,Malaclaw,,Resembled lobstersBites caused bad luckCaused illness when eaten,,Black,,,,,,12 inches,XXX,Mortal,Europe,,,,,Grey with green spots,,Extant,,
Manticore,https://harrypotter.fandom.com/wiki/Manticore,,Dark Arts,"Head of a humanLion's bodyScorpion's tail with highly poisonous stingerCapable of human speechExtremely violent, dangerous and carnivorousSkin resistant to most spells",,,,,Golden,,,,XXXXX,Mortal,Greece,,,,,,,Extant,,
Marmite,https://harrypotter.fandom.com/wiki/Marmite,,,"Transparent, bio-luminescent bodyLong tentacles",,White,,,,,,,Beast,Mortal,,,,,,Transparent,,Extant,,
Matagot,https://harrypotter.fandom.com/wiki/Matagot,,French Ministry of Magic,"Resembles black cat in appearanceCapable of multiplyingNormally harmless, vicious when provoked",,Light blue,,,,,,,Beast,,France (possibly),,,,,Black,,Extant,,
Merpeople,https://harrypotter.fandom.com/wiki/Merperson,Mermaid (female)Merman (male)Merpeople (plural),,Fish-like attributesWater-inhabitant,,Varies,,,Varies,Varies,,,XXXX,,"Originally Greece, now found worldwide",,,Sub-speciesSirenSelkieMerrow,,Varies,,Extant,,
Merrow,https://harrypotter.fandom.com/wiki/Merrow,,,Less beautiful than sirens,,Varies,,,Varies,Varies,,,XXXX,,Ireland,,,MerpeopleSelkie,,Varies,,Extant,,
Selkie,https://harrypotter.fandom.com/wiki/Selkie,,,Less beautiful than sirens,,Varies,,,Varies,,,,XXXX,,Scotland,,,MerpeopleMerrow,,Varies,,Extant,,
Siren,https://harrypotter.fandom.com/wiki/Siren,,,Considered beautiful,,Varies,,,Varies,,,,XXXX,Mortal (likely),Greece,,,Merpeople,,Varies,,Extant,,
Moke,https://harrypotter.fandom.com/wiki/Moke,,,Shrinks at will,,,,,,,,Ten inches,XXX,Mortal,Great BritainIreland,,,Lizard,,Silver-green,,Extant,,
Mooncalf,https://harrypotter.fandom.com/wiki/Mooncalf,,,Comes out only during full moonCreates crop circles with mating dance,,Blue-green,,,Pale grey,,,,XX,Mortal,Existing worldwide,,,,,Pink,,Extant,,
Murtlap,https://harrypotter.fandom.com/wiki/Murtlap,,Water,Resembles rat but with tentaclesCarnivorous,,,,,,,,,XXX,Mortal,Great Britain,,,,,Pale pink,,Extant,,
Muskrill,https://harrypotter.fandom.com/wiki/Muskrill,,,Bio-luminescent,,Light-blue,,,,,,,Beast,Mortal (likely),,,,,,White,,Extant (likely),,
Niffler,https://harrypotter.fandom.com/wiki/Niffler,,,Rodent-likeLong snoutAttracted to shiny objects and metalsSkilled at hunting for treasureCan wreck indoor environments,,,,,BlackBrownTeal,,,,XXX,Mortal,Great Britain,,,,,,,Extant,,
Nogtail,https://harrypotter.fandom.com/wiki/Nogtail,,Dark Arts,Long legsThick stubby tailSuckled pigsExceptionally fast and hard to catch,,Black,,,,,,,XXX,Mortal,EuropeRussiaNorth AmericaSouth America,,,,,Brown,,Extant,,
Nundu,https://harrypotter.fandom.com/wiki/Nundu,,,Resembles leopard or lion in appearanceToxic breathMoved silentlyCarnivorous,,,,,Yellow with black spots,,,,XXXXX,Mortal,East Africa,,,,,,,Extant,,
Occamy,https://harrypotter.fandom.com/wiki/Occamy,,,Serpentine appearanceWingedExtremely aggressiveCarnivorousProtective of eggsCapable of Choranaptyxis,,,Teal,,Purple,,,Fifteen feet,XXXX,Mortal,Far EastIndia,,,,,Turquoise,,Extant,,
Oni,https://harrypotter.fandom.com/wiki/Oni,,,Horned,,,,,,,,,Beast,Mortal,Japan,,,,,,,Extant (as of 1987),,
Peluda,https://harrypotter.fandom.com/wiki/Peluda,,,CarnivorousAquaticCovered in spikes,,,,,,,,,Beast,Mortal,,,,,,White,,,,
Phoenix,https://harrypotter.fandom.com/wiki/Phoenix,,Dumbledore family,Reborn from ashes upon deathImmense strengthTears had healing powersCapable of singing soul-touching songStrictly herbivorous,,Black,ScarletGolden tail,,,,,,XXXX,Immortal,EgyptIndiaChina,,,Hoo-hooThunderbird,,,,Extant,,
Pixie,https://harrypotter.fandom.com/wiki/Pixie,,,Revels in mischiefBlue skin,,Black,,,,Eight inches (about 20 centimetres),,,XXX,,"Cornwall, England (mostly)",,,FairyDoxy,,Electric blue,,Extant,,8 inches (estimate)
Cornish Pixie,https://harrypotter.fandom.com/wiki/Pixie,,,Revels in mischiefBlue skin,,Black,,,,Eight inches (about 20 centimetres),,,XXX,,"Cornwall, England (mostly)",,,FairyDoxy,,Electric blue,,Extant,,8 inches (estimate)
Plimpy,https://harrypotter.fandom.com/wiki/Plimpy,,Merpeople,Round in shapeHas two legs,,,,,,,,,XXX,Mortal,Worldwide,,,,,Yellowish,,Extant,,
Pogrebin,https://harrypotter.fandom.com/wiki/Pogrebin,,Dark Arts,HairyOversized grey headAttracted to and attacked humans,,,,,,1 foot,,,XXX,Mortal,Russia,,,,,,,Extant,,
Porlock,https://harrypotter.fandom.com/wiki/Porlock,,Horses,"Walked on two cloven hoovesMistrustful of humansRough, shaggy hairLarge noseSmall armsFour stubby fingers",,Blue,,,Red and brown,Two feet,,,XX,Mortal,EnglandSouthern Ireland,,,,,Black,,Extant,,
Puffskein,https://harrypotter.fandom.com/wiki/Puffskein,,,"Small and furrySpherical shapeScavenger; ate leftovers, spiders, moths and bogeysEmitted low humming sound when happyHair had magical properties",,,,,Custard (also described as yellow),,,,XX,Mortal,,,,Pygmy PuffAppaloosa PuffskeinFanged Puffskein,,,,Extant,,
Appaloosa Puffskein,https://harrypotter.fandom.com/wiki/Appaloosa_Puffskein,American Puffskein,,,,,,,,,,,XX,Mortal,"New York, United States of America",,,PuffskeinPygmy PuffFanged Puffskein,,,,Extinct,,
Fanged Puffskein,https://harrypotter.fandom.com/wiki/Fanged_Puffskein,,,Fanged,,Yellow,,,Black,,,,Beast,Mortal,,,,PuffskeinPygmy PuffAppaloosa Puffskein,,,,Extant,,
Pygmy Puff,https://harrypotter.fandom.com/wiki/Pygmy_Puff,,,,,,,,Pink or Purple,,,,XX,,,,,PuffskeinAppaloosa PuffskeinFanged Puffskein,,,,Extant,,
Pygmy Kraken,https://harrypotter.fandom.com/wiki/Pygmy_Kraken,,,Had many tentaclesBio-luminescent,,Bright blue,,,,,,,Beast,,,,,,,Greyish,,,,
Qilin,https://harrypotter.fandom.com/wiki/Qilin,,,"Possessed the ability to see into a person's soulPossessed precognitive abilitiesPart-dragon, part-horse",,,,,Light brown,,,,Beast,Mortal,"Kweilin, China",,,,,Brown and white skin and fur,,,,
Quintaped,https://harrypotter.fandom.com/wiki/Quintaped,Hairy MacBoons,,"Five legsCarnivorous, taste for human fleshExtremely dangerous and hostile towards humans",,,,,Red-brown,,,,XXXXX,Mortal,Isle of Drear,,,,,,,Extant,,
Ramora,https://harrypotter.fandom.com/wiki/Ramora,,,Anchors ships in placeEuryhaline,,,,,,,,Longer than ships,XX,,Indian Ocean,,,,,Silver,,Extant,,
Red Cap,https://harrypotter.fandom.com/wiki/Red_Cap,,,Dwarf-like appearanceAttracted to spilt human bloodBludgeons unwary to death,,Red,,,,3-4 feet,,,XXX,Mortal,Northern Europe,,,,,Green,,Extant,,
Re'em,https://harrypotter.fandom.com/wiki/Re%27em,,,Resembles an OxBlood increases strength of drinker,,,,,Golden,,,,XXXX,Mortal,North AmericaFar East,,,,,,,Extant,,
Runespoor,https://harrypotter.fandom.com/wiki/Runespoor,,Dark wizards (formerly),Three heads,,,,,,,,Six to seven feet,XXXX,Mortal,"Burkina Faso, Africa",,,,,Orange with black stripes,,Extant,,
Salamander,https://harrypotter.fandom.com/wiki/Fire_Dwelling_Salamander,Fire SalamanderSalamander,,Typically on fireDwell in Salamander fire,,Black,,,,,,,XXX,Mortal,Existing worldwide,,,Amazonian SalamandersPeruvian SalamandersFrost Salamanders,,Scarlet red,,Extant,,
Amazonian Salamander,https://harrypotter.fandom.com/wiki/Amazonian_Salamander,,Fire,Can have green skin,,,,,,,,,XXX,Mortal,Amazon rainforest,,,Fire Dwelling Salamander,,Green,,Extant,,
Blue salamander,https://harrypotter.fandom.com/wiki/Blue_salamander,,,Body temperature below freezing,,Black,,,,,,,XXX,Mortal,Antarctica,,,Fire Dwelling Salamander,,Blue,,Extant,,
Frost Salamander,https://harrypotter.fandom.com/wiki/Frost_Salamander,,,Body temperature below freezing,,Black,,,,,,,XXX,Mortal,Antarctica,,,Fire Dwelling Salamander,,Blue,,Extant,,
Peruvian Salamander,https://harrypotter.fandom.com/wiki/Peruvian_Salamander,,Fire,Purple skin,,Black,,,,,,,XXX,Mortal,Peru,,,Salamander,,Purple,,Extant,,
