name,url,Affiliation,Also known as,Alternative names,Author,Born,Budget,Cover artist,Developer,Died,Director(s),Distinction,Distinction(s),Distributor(s),Eye colour,Family members,Feather colour,Feathers,Flowers,Followed by,Gender,Genre,Gross box office,Hair colour,Height of average adult,Information,Interior artist,Known affected,Latest version,Leaves,Length of average adult,Loyalty,Ministry of Magic Classification,Mortality,Music by,Narrator,Native to,Number,Occupation,Pages,Platforms,Preceded by,Producer(s),Provoked by,Publisher,Rarity,Rating,Related to,Release date,Release date(s),Released,Run-time,Sentience,Set,Skin colour,Species,Star(s),Status,Stem,Symptoms,Type,Updated,Wingspan of average adult,Writer(s)
Chimaera,https://harrypotter.fandom.com/wiki/Chimaera,,,,,,,,,,,Head of a lionBody of a goatTail of a dragonExtremely violent and dangerous,,,White,,,,,,,,,Golden,Large,,,,,,,,Beast  XXXXX,Mortal,,,Greece,,,,,,,,,,,,,,,,,,,,,Extant (rare),,,,,,
Chizpurfle,https://harrypotter.fandom.com/wiki/Chizpurfle,CrupsAugureysMagic and electricity,,,,,,,,,,Attacks magical and electrical objectsResembles crab,,,Black,,,,,,,,,,,,,,,,Up to a twentieth of an inch (with fangs),,BeastXX,Mortal,,,Worldwide,,,,,,,,,,,,,,,,,,Brown with green pincers,,,Extant,,,,,,
Chupacabra,https://harrypotter.fandom.com/wiki/Chupacabra,Dark Arts,,,,,,,,,,Blood consuming,,,,,,,,,,,,,,,,,,,,,Beast,Mortal,,,North AmericaSouth America,,,,,,,,,,,,,,,,,,Blue and red,,,Extant,,,,,,
Clabbert,https://harrypotter.fandom.com/wiki/Clabbert,,,,,,,,,,,Resembles cross between frog and monkeyIlluminated pustuleWebbed hands and feetSmall hornsSharp TeethLong legsTree-dwelling,,,Yellow,,,,,,,,,,,,,,,,,,BeastXX,Mortal,,,Existing worldwide,,,,,,,,,,,,,,,,,,Mottled green,,,Extant,,,,,,
Coruscant cuttlefish,https://harrypotter.fandom.com/wiki/Coruscant_cuttlefish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mortal,,,,,,,,,,,,,,Cuttlefish,,,,,,,Blue and luminous,,,Extant (as of the 2010s),,,,,,
Crup,https://harrypotter.fandom.com/wiki/Crup,Wizardkind,,,,,,,,,,Resembles the Jack Russell terrierForked TailFiercely loyal towards wizardsHostile towards Muggles and SquibsSkilful scavengers,,,,,,,,,,,,White and brown,,,,,,,,,BeastXXX,Mortal,,,England,,,,,,,,,,,Dog,,,,,,,,,,Extant,,,,,,
Demiguise,https://harrypotter.fandom.com/wiki/Demiguise,,,,,,,,,,,Could become invisiblePrecognitive sightPeaceful temperamentHerbivorous,,,BlackBlue when predicting future,,,,,,,,,Silver,,,,,,,,,Beast  XXXX,Mortal,,,Far East,,,,,,,,,,,Hidebehind,,,,,,,Beige,,,Extant,,,,,,
Diricawl,https://harrypotter.fandom.com/wiki/Diricawl,,,Dodo,,,,,,,,Apparated at willFlightless,,,,,Bluish-pink,,,,,,,,,,,,,,,,BeastXX,Mortal,,,"Mauritius, Indian Ocean",,,,,,,,,,,Birds,,,,,,,,,,ExtantBelieved extinct by Muggles,,,,,,
Double-ended Newt,https://harrypotter.fandom.com/wiki/Double-ended_Newt,,,,,,,,,,,Two heads,,,Yellow,,,,,,,,,,,,,,,,,,Beast,Mortal,,,,,,,,,,,,,,Newt,,,,,,,Green,,,Extant,,,,,,
Doxy,https://harrypotter.fandom.com/wiki/Doxy,,,Biting Fairy,,,,,,,,Two sets of limbsBeetle-like wingsTwo rows of venomous teethCommon household pests,,,,,,,,,,,,Black,,,,,,,,,BeastXXX,Mortal,,,North AmericaNorthern Europe,,,,,,,,,,,Fairy (possibly)Pixies (possibly),,,,,,,PurpleBrown,,,Extant,,,,,,
Dragon,https://harrypotter.fandom.com/wiki/Dragon,Romanian Dragon SanctuaryChinese Dragon SanctuarySwedish dragon reservationDragon reserves,,,,,,,,,,,,,Varied by breed,,,,,,,,,,Varied by breed,,,,,,Varied by breed,,BeastXXXXX,Mortal,,,Worldwide,,,,,,,,,,,,,,,,,,Varied by breed,,,Extant,,,,,Varied by breed,
Antipodean Opaleye,https://harrypotter.fandom.com/wiki/Antipodean_Opaleye,,,,,,,,,,,Less aggressive than other dragon species,,,Multicoloured,,,,,,,,,,,,,,,,,,Beast  XXXXX,Mortal,,,New Zealand,,,,,,,,,,,Dragon,,,,,,,Pearly,,,Extant,,,,,,
Catalonian Fireball,https://harrypotter.fandom.com/wiki/Catalonian_Fireball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XXXXX,Mortal,,,"Catalonia, Spain",,,,,,,,,,,Dragon,,,,,,,,,,Unknown,,,,,,
Chinese Fireball,https://harrypotter.fandom.com/wiki/Chinese_Fireball,Romanian Dragon SanctuaryChinese Dragon Sanctuary,,Liondragon,,,,,,,,Shot mushroom-shaped fire from nostrilsCarnivorousGenerally tolerant towards other dragonsFast and intelligent,,,Yellow,,,,,,,,,,,,,,,,25ft,,Beast  XXXXX,Mortal,,,China,,,,,,,,,,,Dragon,,,,,,,Scarlet,,,Extant,,,,,,
Common Welsh Green,https://harrypotter.fandom.com/wiki/Common_Welsh_Green,Romanian Dragon Sanctuary,,Welsh Green,,,,,,,,,,,,,,,,,,,,,,,,,,,18ft,,Beast  XXXXX,Mortal,,,Wales,,,,,,,,,,,Dragon,,,,,,,Green,,,Extant,,,,,,
Hebridean Black,https://harrypotter.fandom.com/wiki/Hebridean_Black,MacFusty clanBanchory Bangers,,,,,,,,,,,,,Brilliant purple,,,,,,,,,,,,,,,,30ft,,Beast  XXXXX,Mortal,,,"Hebrides Islands, Scotland",,,,,,,,,,,Dragon,,,,,,,Dark,,,Extant,,,,,,
Hungarian Horntail,https://harrypotter.fandom.com/wiki/Hungarian_Horntail,Romanian Dragon Sanctuary,,,,,,,,,,Extremely dangerous,,,Yellow,,,,,,,,,,,,,,,,,,Beast  XXXXX,Mortal,,,Hungary,,,,,,,,,,,Dragon,,,,,,,Black,,,Extant,,,,,,
Norwegian Ridgeback,https://harrypotter.fandom.com/wiki/Norwegian_Ridgeback,Romanian Dragon Sanctuary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeastXXXXX,Mortal,,,Norway,,,,,,,,,,,Dragon,,,,,,,Black,,,Extant,,,,,,
Peruvian Vipertooth,https://harrypotter.fandom.com/wiki/Peruvian_Vipertooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 ft,,BeastXXXXX,Mortal,,,Peru,,,,,,,,,,,Dragon,,,,,,,Copper,,,Extant,,,,,,
Portuguese Long-Snout,https://harrypotter.fandom.com/wiki/Portuguese_Long-Snout,,,,,,,,,,,Long snout,,,Black,,,,,,,,,,,,,,,,20ft,,XXXXX,Mortal,,,"Gerês, Portugal",,,,,,,,,,,Dragon,,,,,,,Light green,,,Unknown,,,,,,
Romanian Longhorn,https://harrypotter.fandom.com/wiki/Romanian_Longhorn,,,,,,,,,,,Two golden horns,,,,,,,,,,,,,,,,,,,40ft,,Beast XXXXX,Mortal,,,Romania,,,,,,,,,,,Dragon,,,,,,,Dark green,,,Endangered,,,,,,
Swedish Short-Snout,https://harrypotter.fandom.com/wiki/Swedish_Short-Snout,Romanian Dragon Sanctuary,,,,,,,,,,Breathed blue flame from its nostrils,,,,,,,,,,,,,,,,,,,22ft,,Beast  XXXXX,Mortal,,,Sweden,,,,,,,,,,,Dragon,,,,,,,Silvery blue,,,Extant,,,,,,
Ukrainian Ironbelly,https://harrypotter.fandom.com/wiki/Ukrainian_Ironbelly,,,,,,,,,,,,,,Deep red,,,,,,,,,,,,,,,,,,Beast  XXXXX,Mortal,,,Ukraine,,,,,,,,,,,Dragon,,,,,,,Metallic grey-silver,,,Extant,,,,,,
Water dragon,https://harrypotter.fandom.com/wiki/Water_dragon,,,,,,,,,,,Inhabit bodies of waterUsually carry specific parasites,,,,,,,,,,,,,,,,,,,,,Beast,Mortal,,,Paris sewers (possibly),,,,,,,,,,,Dragon,,,,,,,,,,Extant,,,,,,
Dragon Shark,https://harrypotter.fandom.com/wiki/Dragon_Shark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beast,Mortal,,,Deep oceans,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake (creature),https://harrypotter.fandom.com/wiki/Drake_(creature),,,,,,,,,,,Large reptile,,,,,,,,,,,,,,,,,,,,,Beast,Mortal,,,,,,,,,,,,,,Dragon (possibly)Lizard (possibly),,,,,,,Green,,,,,,,,,
Dugbog,https://harrypotter.fandom.com/wiki/Dugbog,,,,,,,,,,,Resembled dead woodFinned pawsSharp teethOmnivorous,,,Light green,,,,,,,,,,,,,,,,,,BeastXXX,Mortal,,,North AmericaSouth AmericaEurope,,,,,,,,,,,,,,,,,,Dark green,,,Extant,,,,,,
Erkling,https://harrypotter.fandom.com/wiki/Erkling,,,,,,,,,,,Feed upon human childrenShoot dartsHigh pitch cackles to lure children,,,Yellow,,,,,,,,,,3 feet,,,,,,,,BeastXXXX,Mortal,,,"Black Forest and Bavaria, Germany",,,,,,,,,,,House-elves (possibly),,,,,,,Brown,,,"Extant, but heavily controlled",,,,,,
Erumpent,https://harrypotter.fandom.com/wiki/Erumpent,,,,,,,,,,,Explosive horn,,,,,,,,,,,,,Medium sized (females could reach five times the size of a non-magical hippopotamus),,,,,,,,BeastXXXX,Mortal,,,Africa,,,,,,,,,,,,,,,,,,Black,,,Extant in small numbers,,,,,,
Fairy,https://harrypotter.fandom.com/wiki/Fairy,,,,,,,,,,,Very small diminutive humanoid with insect-like wingsPossessed weak magicVain natures,,,Varies,,,,,,,,,Varies,1-5 inches,,,,,,,,BeastXX,Mortal,,,Existing worldwideTír na nÓg (possibly),,,,,,,,,,,PixieDoxy,,,,,,,Varies,,,Extant,,,,,,
Fire crab,https://harrypotter.fandom.com/wiki/Fire_crab,Fire,,,,,,,,,,Jewelled shell which is extremely valuableShoots flames from rear end,,,Black,,,,,,,,,,,,,,,,,,BeastXXX,Mortal,,,Fiji,,,,,,,,,,,Blast-Ended Skrewt,,,,,,,Grey,,,Endangered,,,,,,
Giant Fire Crab,https://harrypotter.fandom.com/wiki/Giant_Fire_Crab,,,,,,,,,,,Larger than the average fire crab,,,Red,,,,,,,,,,,,,,,,,,XXX (possibly),Mortal,,,"Fijian rainforest, Fiji, Oceania",,,,,,,,,,,Fire Crab,,,,,,,Grey,,,Endangered,,,,,,
Firedrake,https://harrypotter.fandom.com/wiki/Firedrake,Fire,,,,,,,,,,Capable of flightShoots sparks of fire from tail,,,,,,,,,,,,,,,,,,,,,Beast,Mortal,,,,,,,,,,,,,,Lizard,,,,,,,Yellow/Black,,,Extant,,,,,,
Flobberworm,https://harrypotter.fandom.com/wiki/Flobberworm,,,,,,,,,,,HerbivorousMouths on both sidesToothlessProduces mucus,,,,,,,,,,,,,,,,,,,Ten inches,,BeastX,Mortal,,,,,,,,,,,,,,,,,,,,,BrownRedBlue,,,Extant,,,,,,
Flying Seahorses,https://harrypotter.fandom.com/wiki/Flying_Seahorse,,,,,,,,,,,"Winged, capable of flightUsed as potion ingredients",,,Black,,,,,,,,,,,,,,,,,,,Mortal,,,Scotland,,,,,,,,,,,Seahorse,,,,,,,Tan or red in colour,,,Extant,,,,,,
Forest Raco,https://harrypotter.fandom.com/wiki/Forest_Raco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beast,Mortal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fwooper,https://harrypotter.fandom.com/wiki/Fwooper,,,,,,,,,,,Song causes insanity,,,Yellow,,Brightly colouredOrangePinkLime greenYellow,,,,,,,,,,,,,,,,BeastXXX,Mortal,,,Africa,,,,,,,,,,,,,,,,,,,,,Extant,,,,,,
Ghoul,https://harrypotter.fandom.com/wiki/Ghoul,,,,,,,,,,,SlimyBuck-toothedUglyHumanoidGenerally harmlessResembles Ogres,,,Green,,,,,,,,,,,,,,,,,,BeastXX,Mortal,,,,,,,,,,,,,,HidebehindChameleon Ghoul,,,,,,,Greyish green,,,Extant,,,,,,
Chameleon Ghoul,https://harrypotter.fandom.com/wiki/Chameleon_Ghoul,Dark Arts,,,,,,,,,,Could disguise itself as an everyday object to avoid detectionAggressive,,,Green,,,,,,,,,,,,,,,,,,"Beast, XX",Mortal,,,,,,,,,,,,,,Ghoul,,,,,,,Greyish-green,,,Extant,,,,,,
Giant Dung Beetle,https://harrypotter.fandom.com/wiki/Dung_beetle,Ancient Egyptians,,,,,,,,,,Consume faeces,,,,,,,,,,,,,,,,,,,,,,Mortal,,,Egypt,,,,,,,,,,,Scarab beetle,,,,,,,,,,Extant,,,,,,
Giant hairy slug elk,https://harrypotter.fandom.com/wiki/Giant_hairy_slug_elk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beast,Mortal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant Purple Toad,https://harrypotter.fandom.com/wiki/Giant_Purple_Toad,,,Bullfrog,,,,,,,,"Thick, warted skinGreen tongueLarge in size",,,BlackYellowOrange,,,,,,,,,,,,,,,,,,Beast,Mortal,,,,,,,,,,,,,,Toad,,,,,,,Purple,,,Extant,,,,,,
Giant Squid,https://harrypotter.fandom.com/wiki/Giant_Squid,Black LakeMagical Creatures Reserve,,,,,,,,,,Enormous with lots of tentacles,,,Yellow,,,,,,,,,,,,,,,,,,Beast,Mortal,,,"Great Lake, Scotland",,,,,,,,,,,,,,,,,,Blood red or purple,,,Extant,,,,,,
Gigantic jellyfish,https://harrypotter.fandom.com/wiki/Gigantic_jellyfish,Great Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beast[citation needed],Mortal,,,Scotland,,,,,,,,,,,Jellyfish,,,,,,,Blue and purple,,,Extant (most likely),,,,,,
Glow Bug,https://harrypotter.fandom.com/wiki/Glow_Bug,,,,,,,,,,,Luminescent,,,"White, glowing",,,,,,,,,,,,,,,,,,Beast,Mortal,,,,,,,,,,,,,,Worm,,,,,,,Translucent/Luminescent,,,Extant,,,,,,
Glumbumble,https://harrypotter.fandom.com/wiki/Glumbumble,,,,,,,,,,,Produces a treacleInfests beehives,,,Black,,,,,,,,,Black,,,,,,,,,BeastXXX,Mortal,,,Northern Europe,,,,,,,,,,,,,,,,,,Grey,,,Extant,,,,,,
Gnome,https://harrypotter.fandom.com/wiki/Gnome,,,Garden gnomeGnomeGernumblies (plural),,,,,,,,Potato-like headsSharp biting teethHarmless natureTended to infest gardensFeasted on vegetation and wormsQuick breeders,,,,,,,,,,,,,1 ft. (max.),,,,,,,,BeastXX,Mortal,,,EuropeNorth America,,,,,,,,,,,,,,,,,,Brown,,,Extant,,,,,,
Goblin Jellies,https://harrypotter.fandom.com/wiki/Goblin_Jellies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beast,Mortal,,,Deep oceans,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goblin Vampire squid,https://harrypotter.fandom.com/wiki/Goblin_Vampire_squid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beast,Mortal,,,Deep oceans,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Snidget,https://harrypotter.fandom.com/wiki/Golden_Snidget,Quidditch (formerly),,Snidget,,,,,,,,360° rotation wingsOriginally used in Quidditch,,,Red,,Golden,,,,,,,,Smaller than 1',,,,,,,,BeastXXXX,Mortal,,,Northern Europe,,,,,,,,,,,Birds,,,,,,,,,,Endangered,,,,,,
Graphorn,https://harrypotter.fandom.com/wiki/Graphorn,Trolls,,,,,,,,,,Two gold hornsHumped backFour toes on each footRepels most spellsAggressive and dangerous nature,,,,,,,,,,,,,,,,,,,,,BeastXXXX,Mortal,,,Mountains of Europe,,,,,,,,,,,,,,,,,,Greyish-purple,,,Endangered (1920s)Extant (2020s),,,,,,
Griffin,https://harrypotter.fandom.com/wiki/Griffin,,,,,,,,,,,Front half of a giant eagleRear half of a lionCapable of Flight,,,Yellow,,White and brown,,,,,,,Brownish-yellow,,,,,,,,,BeastXXXX,,,,Greece,,,,,,,,,,,Hippogriff,,,,,,,,,,Extant,,,,,,
Grindylow,https://harrypotter.fandom.com/wiki/Grindylow,MerpeopleDark Arts,,Pollywiggle (in Ilkley)Candypole (in Kettlewell)Jarvis (in Sheffield),,,,,,,,HornedAggressive natureInhabit waterCarnivorous,,,YellowWhiteGreen,,,,,,,,,,Less than 5 feet,,,,,,,,BeastXX,Mortal,,,Great BritainIreland,,,,,,,,,,,,,,,,,,Sickly green,,,Extant,,,,,,
Hidebehind,https://harrypotter.fandom.com/wiki/Hidebehind,,,,,,,,,,,Resembles a spectreNocturnalCan turn invisibleShapeshiftingCarnivorous; feeds on humans,,,,,,,,,,,,Silver,,,,,,,,,BeastXXXX,Mortal,,,"Massachusetts, United States of America, North America",,,,,,,,,,,DemiguiseGhoul,,,,,,,,,,Extant,,,,,,
Hinkypunk,https://harrypotter.fandom.com/wiki/Hinkypunk,Dark Arts,,,,,,,,,,Looks like smokeBears a lanternLures travellers into dangerous bogsTurns solid when illuminated,,,,,,,,,,,,,,,,,,,,,Beast,Mortal,,,Scotland,,,,,,,,,,,,,,,,,,,,,Extant,,,,,,
Hippocampus,https://harrypotter.fandom.com/wiki/Hippocampus,Merpeople,,,,,,,,,,Horse's upper bodyFish's lower bodyLives in water,,,Varies,,,,,,,,,,,,,,,,,,BeastXXX,Mortal,,,Greece,,,,,,,,,,,,,,,,,,BlueRed,,,Extant,,,,,,
Hippogriff,https://harrypotter.fandom.com/wiki/Hippogriff,,,,,,,,,,,Front half of a giant eagleRear half of a  horseCapable of flightCarnivorous,,,Orange,,Same as hair colour,,,,,,,Stormy greyChestnutBronzePinkish roanInky black,3 metres,,,,,,,,BeastXXX,Mortal,,,Europe,,,,,,,,,,,Griffin,,,,,,,,,,Extant,,,,,10 metres,
Hodag,https://harrypotter.fandom.com/wiki/Hodag,,,,,,,,,,,Frog-headedRoughly the size of a large dogHorned (horns have magical properties)Inhabits Muggle farmsFeeds on Mooncalves,,,"Red, glowing",,,,,,,,,Black and grey,,,,,,,,,BeastXXX,Mortal,,,"North America, mostly Wisconsin",,,,,,,,,,,,,,,,,,Black,,,Extant,,,,,,
Horklump,https://harrypotter.fandom.com/wiki/Horklump,,,,,,,,,,,Resembled mushroomSparsely covered with bristles,,,,,,,,,,,,Black,,,,,,,,,BeastX,Mortal,,,Scandinavia,,,,,,,,,,,,,,,,,,Pink,,,Extant,,,,,,
Horned Serpent,https://harrypotter.fandom.com/wiki/Horned_Serpent,,,,,,,,,,,"Fierce, but intelligent eyesEmit a low musical note to sound dangerJewelled foreheadInhabits bodies of water",,,BlueTurquoiseYellow,,,,,,,,,,,,,,,,,,BeastXXXXX,Mortal,,,North AmericaFar EastWestern Europe (formerly),,,,,,,,,,,Snake,,,,,,,BlackTurquoisePurpleBrown,,,Extant,,,,,,
Imp,https://harrypotter.fandom.com/wiki/Imp,,,,,,,,,,,Love of slapstick humourSimilar height to the PixieEats insects,,,Yellow,,,,,,,,,Bald,Six to eight inches,,,,,,,,BeastXX,Mortal,,,Britain & Ireland,,,,,,,,,,,Pixie (most likely),,,,,,,Grey,,,Extant,,,,,,
Jackalope,https://harrypotter.fandom.com/wiki/Jackalope,,,,,,,,,,,"Resembles a Jack Rabbit, with the antlers of an antelope",,,Brown,,,,,,,,,Brown,,,,,,,,,Beast,Mortal,,,United States of America,,,,,,,,,,,,,,,,,,,,,Extant,,,,,,
Jarvey,https://harrypotter.fandom.com/wiki/Jarvey,,,Talking Ferret,,,,,,,,Resembled an overgrown ferretCapable of human speechLong bushy tailSharp teethPredatory and carnivorous,,,Black,,,,,,,,,Brown,,,,,,,,,BeastXXX,Mortal,,,Great BritainIrelandNorth America,,,,,,,,,,,,,,,,,,,,,Extant,,,,,,
Jobberknoll,https://harrypotter.fandom.com/wiki/Jobberknoll,,,,,,,,,,,Screamed every sound it heard backwards before it diedInsect-based diet,,,Black,,Speckled blue,,,,,,,,,,,,,,,,BeastXX,Mortal,,,Northern EuropeNorth America,,,,,,,,,,,Bird,,,,,,,,,,Extant,,,,,,
Kappa,https://harrypotter.fandom.com/wiki/Kappa,Dark Arts,,,,,,,,,,Water-filled hollow on top of headFeeds on human blood,,,,,,,,,,,,,,,,,,,,,BeastXXXX,Mortal,,,Japan,,,,,,,,,,,,,,,,,,Scaly,,,Extant,,,,,,
Kelpie,https://harrypotter.fandom.com/wiki/Kelpie,Water,,,,,,,,,,Typically appeared as a horseAble to shapeshiftAte humans,,,,,,,,,,,,,,,,,,,,,BeastXXXX,,,,Great BritainIreland,,,,,,,,,,,,,,,,,,,,,Extant,,,,,,
Knarl,https://harrypotter.fandom.com/wiki/Knarl,,,,,,,,,,,Almost identical to the hedgehogSavages gardensHerbivorous,,,Black,,,,,,,,,Brown,,,,,,,,,BeastXXX,Mortal,,,Northern EuropeNorth America,,,,,,,,,,,,,,,,,,Brown,,,Extant,,,,,,
Kneazle,https://harrypotter.fandom.com/wiki/Kneazle,Wizardkind,,,,,,,,,,"Cat-like, flecked, speckled or spotted fur, out-sized ears and a tail like that of a lion'sHighly intelligentUncanny ability to detect untrustworthy individualsIndependentSometimes aggressiveCapable of guarding homes",,,Varies,,,,,,,,,Varies,,,,,,,,,BeastXXX,Mortal,,,Britain,,,,,,,,,,,Cat,,,,,,,,,,Extant,,,,,,
Leprechaun,https://harrypotter.fandom.com/wiki/Leprechaun,Irish National Quidditch team,,Clauricorn,,,,,,,,Mischievous natureHerbivorous,,,,,,,,,,,,,Six inches,,,,,,,,BeastXXX,Mortal,,,Ireland,,,,,,,,,,,,,,,,,,Green,,,Extant,,,,,,
Lethifold,https://harrypotter.fandom.com/wiki/Lethifold,Dark Arts,,Living Shroud,,,,,,,,Resembles a black cloakTaste for human flesh,,,,,,,,,,,,,,,,,,,,,Beast  XXXXX,,,,The tropics,,,,,,,,,,,Dementor (possibly),,,,,,,Black,,,Extant,,,,,,
Leucrotta,https://harrypotter.fandom.com/wiki/Leucrotta,,,,,,,,,,,Strongly resembled a moose in appearanceCapable of repeating/mimicking voices and soundsDisliked their teeth being brushed,,,,,,,,,,,,Brown,Large,,,,,,,,Beast,Mortal,,,,,,,,,,,,,,,,,,,,,,,,Extant,,,,,,
Lion Bison Moa,https://harrypotter.fandom.com/wiki/Lion_Bison_Moa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beast,Mortal,,,,,,,,,,,,,,LionBisonMoa,,,,,,,,,,,,,,,,
Lobalug,https://harrypotter.fandom.com/wiki/Lobalug,Merpeople,,,,,,,,,,Rubbery proboscisVenom sac,,,,,,,,,,,,,,,,,,,~10 inches,,BeastXXX,Mortal,,,North Sea,,,,,,,,,,,,,,,,,,Yellow,,,Extant,,,,,,
Mackled Malaclaw,https://harrypotter.fandom.com/wiki/Mackled_Malaclaw,,,Malaclaw,,,,,,,,Resembled lobstersBites caused bad luckCaused illness when eaten,,,Black,,,,,,,,,,,,,,,,12 inches,,BeastXXX,Mortal,,,Europe,,,,,,,,,,,,,,,,,,Grey with green spots,,,Extant,,,,,,
Manticore,https://harrypotter.fandom.com/wiki/Manticore,Dark Arts,,,,,,,,,,"Head of a humanLion's bodyScorpion's tail with highly poisonous stingerCapable of human speechExtremely violent, dangerous and carnivorousSkin resistant to most spells",,,,,,,,,,,,Golden,,,,,,,,,Beast  XXXXX,Mortal,,,Greece,,,,,,,,,,,,,,,,,,,,,Extant,,,,,,
Marmite,https://harrypotter.fandom.com/wiki/Marmite,,,,,,,,,,,"Transparent, bio-luminescent bodyLong tentacles",,,White,,,,,,,,,,,,,,,,,,Beast,Mortal,,,,,,,,,,,,,,,,,,,,,Transparent,,,Extant,,,,,,
